"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"emb_157",1.23005887770164,186,28,81.5,0.1,FALSE,FALSE,FALSE,FALSE,0.667783088235294,134,231,63
"len_bytes",1.21992971160818,85,30.5,62.5,0.05,FALSE,FALSE,FALSE,FALSE,0.240735294117647,31,23,7
"emb_086",1.2136562209875,40,30.5,52,0,FALSE,FALSE,FALSE,FALSE,0.0824669117647059,215,218,121
"emb_098",1.2210043911401,96,30.5,49,0.2,FALSE,FALSE,FALSE,FALSE,0.2795,117,151,107
"emb_100",1.21151365777567,26,30.5,60.5,0,FALSE,FALSE,FALSE,FALSE,0.0528602941176471,119,87,28
"emb_168",1.2090418062877,16,33,23,0.15,FALSE,FALSE,TRUE,FALSE,0.0299926470588235,192,209,68
"len_spaces",1.2137792990446,43,35,65,0.1,FALSE,FALSE,FALSE,FALSE,0.0844264705882353,45,28,37
"emb_012",1.2141541711915,46,35,65,0.05,FALSE,FALSE,FALSE,FALSE,0.0908933823529412,265,181,265
"emb_031",1.21133899198868,24,35,39,0.2,FALSE,FALSE,FALSE,FALSE,0.0509522058823529,246,56,167
"emb_181",1.20698327137219,10,37,30.5,0.15,FALSE,FALSE,TRUE,FALSE,0.0175698529411765,34,54,31
"emb_010",1.21384744450009,44,38,19.5,0.1,FALSE,FALSE,FALSE,FALSE,0.0855073529411765,150,79,61
"len_words",1.21577097882426,57,39,78.5,0.05,FALSE,FALSE,FALSE,FALSE,0.122948529411765,40,26,45
"emb_025",1.23305782057229,212,40.5,58,0.05,FALSE,FALSE,FALSE,FALSE,0.781389705882353,16,17,32
"emb_105",1.20938209245433,17,40.5,30.5,0.2,FALSE,FALSE,TRUE,FALSE,0.0325147058823529,190,107,104
"emb_202",1.22646547586364,152,42,27.5,0.05,FALSE,FALSE,FALSE,FALSE,0.510198529411765,33,40,26
"emb_066",1.22627639110213,150,43.5,60.5,0,FALSE,FALSE,FALSE,FALSE,0.501683823529412,80,76,13
"emb_213",1.21143458825811,25,43.5,43,0.05,FALSE,FALSE,FALSE,FALSE,0.0520772058823529,27,41,153
"emb_084",1.2176712215334,68,45,58,0.1,FALSE,FALSE,FALSE,FALSE,0.170525735294118,264,162,192
"emb_140",1.21682002027951,65,46.5,85,0.2,FALSE,FALSE,FALSE,FALSE,0.148088235294118,85,119,57
"emb_152",1.21462322923566,49,46.5,74,0.05,FALSE,FALSE,FALSE,FALSE,0.0993933823529412,244,239,129
"len_gzip",1.2208049752781,94,48.5,76.5,0.1,FALSE,FALSE,FALSE,FALSE,0.272338235294118,148,93,74
"emb_115",1.21777528214528,69,48.5,52,0.05,FALSE,FALSE,FALSE,FALSE,0.173566176470588,156,157,177
"emb_147",1.22008437885804,88,50,36,0.1,FALSE,FALSE,FALSE,FALSE,0.246257352941176,180,149,40
"emb_238",1.2128333007519,34,51,30.5,0.25,FALSE,FALSE,FALSE,FALSE,0.0696985294117647,184,219,73
"emb_248",1.2162806820767,61,52,112,0,FALSE,FALSE,FALSE,FALSE,0.134632352941176,38,65,151
"emb_139",1.21879129320045,75,53,72.5,0.05,FALSE,FALSE,FALSE,FALSE,0.203444852941176,163,175,138
"emb_207",1.21680623414723,64,54,7.5,0.1,FALSE,FALSE,FALSE,FALSE,0.147742647058824,168,136,29
"emb_223",1.21015036179532,21,55,52,0.05,FALSE,FALSE,TRUE,FALSE,0.0386985294117647,248,260,214
"emb_056",1.21714766426525,66,56,76.5,0.1,FALSE,FALSE,FALSE,FALSE,0.156580882352941,41,34,27
"emb_146",1.2243583378155,137,57,117.5,0,FALSE,FALSE,FALSE,FALSE,0.416444852941176,227,189,203
"emb_136",1.22619787717494,149,58,81.5,0.1,FALSE,FALSE,FALSE,FALSE,0.498169117647059,57,66,122
"emb_028",1.23506703685929,222,59.5,100,0.2,FALSE,FALSE,FALSE,FALSE,0.842970588235294,36,67,132
"emb_175",1.21339829011548,37,59.5,69.5,0.05,FALSE,FALSE,FALSE,FALSE,0.0781433823529412,236,125,46
"emb_057",1.21817119668404,71,61.5,71,0.05,FALSE,FALSE,FALSE,FALSE,0.184709558823529,18,15,67
"emb_091",1.20869460289695,15,61.5,47,0.2,FALSE,FALSE,TRUE,FALSE,0.0273161764705882,83,53,77
"emb_060",1.21492550715349,52,63,81.5,0.1,FALSE,FALSE,FALSE,FALSE,0.105279411764706,271,250,102
"emb_044",1.21937697859387,81,64,117.5,0.1,FALSE,FALSE,FALSE,FALSE,0.222389705882353,176,170,96
"emb_036",1.21915457210822,76,65.5,85,0,FALSE,FALSE,FALSE,FALSE,0.214955882352941,235,131,93
"emb_158",1.2220200548253,108,65.5,103.5,0.15,FALSE,FALSE,FALSE,FALSE,0.319018382352941,242,244,267
"emb_138",1.21983814856181,84,67.5,43,0.05,FALSE,FALSE,FALSE,FALSE,0.237841911764706,211,185,166
"emb_161",1.21927629349368,77,67.5,65,0.1,FALSE,FALSE,FALSE,FALSE,0.218988970588235,66,114,81
"emb_049",1.23210499072163,202,69,52,0.05,FALSE,FALSE,FALSE,FALSE,0.747860294117647,221,241,237
