covariate,sd_inter,p_perm,gmin,gmax
d70_160_q48,0.038922318036992316,0.7033333333333334,1.139507194519043,1.215696346282959
s70m_bs00,0.03870502149202075,0.7033333333333334,1.1329767684936523,1.2183170852661134
s160m_bs15,0.038418342283240106,0.7066666666666667,1.1603697547912597,1.2465731010437011
d70_160_q57,0.03795993132805107,0.71,1.1363218460083009,1.224582592010498
s160m_bm12,0.037091164650628485,0.7266666666666667,1.1596941070556641,1.2487391166687012
d70_160_q76,0.036952355846416124,0.7266666666666667,1.1389046401977538,1.2224355850219726
d70_160_q42,0.03648078218644969,0.74,1.1526574211120606,1.2267149772644044
s160m_q40,0.03605232012242202,0.74,1.1834448699951172,1.2577880821228027
d70_160_q40,0.03589500229666587,0.7433333333333333,1.1588223419189454,1.2282707862854003
d70_160_q96,0.03498511372179015,0.76,1.1523495178222656,1.2295238037109375
s160m_q32,0.034625352898392456,0.76,1.1752981376647949,1.2548477745056152
s70m_bm08,0.03428353782869592,0.77,1.1587397346496582,1.2325037384033204
d70_160_q26,0.03422769289921437,0.77,1.1654556274414063,1.2400721588134767
d70_160_bm06,0.033829416760316575,0.7866666666666666,1.1574413337707519,1.2325933952331543
s70m_bs04,0.03377998532865057,0.79,1.1646149291992187,1.2392886352539063
s70m_bs14,0.03350359403874609,0.79,1.1601403312683105,1.2371845054626465
s70m_bs08,0.032678580457451624,0.8066666666666666,1.1817103729248046,1.254000759124756
d70_160_q94,0.032177968023079324,0.8066666666666666,1.1589108352661133,1.229021484375
d70_160_q66,0.03205346465709324,0.8066666666666666,1.1518299293518066,1.2184245376586913
s70m_q26,0.031093412031701448,0.82,1.1711246871948242,1.240752601623535
s70m_q34,0.03056485487273008,0.83,1.1895294380187988,1.2578698844909668
d70_160_q32,0.030343753407248944,0.8366666666666667,1.1649625625610351,1.238561092376709
d70_160_mean,0.030076297801117733,0.8433333333333334,1.1605705604553223,1.220232982635498
s70m_q36,0.029862652050939922,0.85,1.198730899810791,1.262379669189453
d70_160_bs12,0.029799571018802668,0.85,1.1623314895629884,1.2307428398132325
d70_160_fb00,0.029701229652089756,0.85,1.1718426551818848,1.2336399116516112
d70_160_bm09,0.02788483669419708,0.86,1.1621335639953614,1.2236689033508301
d70_160_bs03,0.026752610149937805,0.8766666666666667,1.172508731842041,1.229283676147461
s160m_bs14,0.026353258499333357,0.8833333333333333,1.1667123985290528,1.2294298362731935
d70_160_q36,0.026022837752255754,0.8933333333333333,1.1650773544311523,1.228467945098877
d70_160_bm13,0.0253011949462005,0.9066666666666666,1.1588994979858398,1.218048568725586
s160m_bm15,0.024995606671203412,0.9133333333333333,1.1921277580261231,1.246973903656006
s160m_bs06,0.023995230791659102,0.9266666666666666,1.1834080772399902,1.2326967544555665
s70m_bs06,0.023537533107179404,0.9333333333333333,1.172222412109375,1.2260442924499513
d70_160_bm01,0.02335263233870347,0.94,1.1716328811645509,1.219788200378418
d70_160_q68,0.02293467630509229,0.94,1.1698127861022949,1.2229129905700684
d70_160_q34,0.01702256359015341,0.9666666666666667,1.173886734008789,1.2101630516052246
d70_160_bs13,0.013754515823107978,0.9866666666666667,1.169240032196045,1.199027328491211
