"covariate","score","rank_base","rank_agg_med","freq_top20","below_fam05","below_mrg05","below_mrg01"
"pc_0651",1.19657475508612,256,262,0,FALSE,FALSE,FALSE
"pc_1012",1.19658307547472,257,245.5,0,FALSE,FALSE,FALSE
"pc_0515",1.1965932040041,258,523.5,0,FALSE,FALSE,FALSE
"pc_0204",1.19659326414553,259,114,0,FALSE,FALSE,FALSE
"pc_0960",1.19664169150771,260,233,0,FALSE,FALSE,FALSE
"pc_0920",1.19665632718068,261,206,0.05,FALSE,FALSE,FALSE
"pc_0991",1.19666645181173,262,315.5,0,FALSE,FALSE,FALSE
"pc_0545",1.1966740642867,263,202,0,FALSE,FALSE,FALSE
"pc_1007",1.19672456626916,264,309,0,FALSE,FALSE,FALSE
"pc_0223",1.19675960073459,265,157.5,0,FALSE,FALSE,FALSE
"pc_0224",1.19676352233338,266,33,0,FALSE,FALSE,FALSE
"pc_0413",1.19680359880242,267,340.5,0,FALSE,FALSE,FALSE
"pc_0788",1.19682245009253,268,95.5,0.05,FALSE,FALSE,FALSE
"pc_0527",1.19683984904393,269,253.5,0.05,FALSE,FALSE,FALSE
"pc_0525",1.19684549045391,270,460.5,0.05,FALSE,FALSE,FALSE
"pc_0557",1.19685574072072,271,93,0,FALSE,FALSE,FALSE
"pc_0097",1.19688616672455,272,261,0,FALSE,FALSE,FALSE
"pc_0974",1.19690696629386,273,55,0,FALSE,FALSE,FALSE
"pc_0409",1.19696401081146,274,237.5,0,FALSE,FALSE,FALSE
"pc_0547",1.19697078871857,275,273,0,FALSE,FALSE,FALSE
"pc_0232",1.19699602200763,276,629.5,0,FALSE,FALSE,FALSE
"pc_0418",1.19700217087062,277,240.5,0,FALSE,FALSE,FALSE
"pc_0806",1.19703803760489,278,251,0,FALSE,FALSE,FALSE
"pc_0816",1.19704278097631,279,569,0,FALSE,FALSE,FALSE
"pc_0927",1.19704566253533,280,685.5,0,FALSE,FALSE,FALSE
"pc_0340",1.19708131005426,281,36,0,FALSE,FALSE,FALSE
"pc_0536",1.19714902007205,282,752,0,FALSE,FALSE,FALSE
"pc_0483",1.19715857917621,283,155.5,0,FALSE,FALSE,FALSE
"pc_0780",1.19716243384097,284,101.5,0.05,FALSE,FALSE,FALSE
"pc_1013",1.19716443623694,285,525,0,FALSE,FALSE,FALSE
"pc_0286",1.19723793166834,286,306,0,FALSE,FALSE,FALSE
"pc_0495",1.19723829837785,287,239,0.05,FALSE,FALSE,FALSE
"pc_0262",1.19727600004279,288,139.5,0.05,FALSE,FALSE,FALSE
"pc_0178",1.19728105630073,289,242,0,FALSE,FALSE,FALSE
"pc_0046",1.19730780320556,290,58,0.05,FALSE,FALSE,FALSE
"pc_0491",1.19730815796932,291,269,0.05,FALSE,FALSE,FALSE
"pc_0259",1.19731946744407,292,276.5,0,FALSE,FALSE,FALSE
"pc_0092",1.19731956070453,293,259,0.05,FALSE,FALSE,FALSE
"pc_0475",1.19735597979121,294,352,0,FALSE,FALSE,FALSE
"pc_0210",1.19735691178732,295,505.5,0,FALSE,FALSE,FALSE
"pc_0148",1.1973768516154,296,245.5,0,FALSE,FALSE,FALSE
"pc_0922",1.19739933047188,297,253.5,0.05,FALSE,FALSE,FALSE
"pc_0021",1.19741202905006,298,497.5,0.05,FALSE,FALSE,FALSE
"pc_0105",1.19742618005932,299,826,0,FALSE,FALSE,FALSE
"pc_0448",1.19743090669914,300,387,0.05,FALSE,FALSE,FALSE
"pc_0497",1.19745627851249,301,442,0,FALSE,FALSE,FALSE
"pc_0200",1.19747018711488,302,199,0,FALSE,FALSE,FALSE
"pc_0510",1.19747491713071,303,223,0.05,FALSE,FALSE,FALSE
"pc_0606",1.19751907949758,304,108.5,0.05,FALSE,FALSE,FALSE
"pc_0364",1.19754189107125,305,539.5,0,FALSE,FALSE,FALSE
"pc_0042",1.19755789172034,306,473,0,FALSE,FALSE,FALSE
"pc_0954",1.19761395264571,307,210,0.05,FALSE,FALSE,FALSE
"pc_0344",1.19763299531085,308,312,0,FALSE,FALSE,FALSE
"pc_1017",1.19765490569058,309,577.5,0.05,FALSE,FALSE,FALSE
"pc_0565",1.1976558441512,310,422.5,0.05,FALSE,FALSE,FALSE
"pc_0173",1.1976999210434,311,339,0.05,FALSE,FALSE,FALSE
"pc_0130",1.19772270123803,312,321.5,0,FALSE,FALSE,FALSE
"pc_0061",1.19772423681951,313,350,0,FALSE,FALSE,FALSE
"pc_0764",1.19777260291475,314,459,0,FALSE,FALSE,FALSE
"pc_0022",1.19783283694288,315,175.5,0,FALSE,FALSE,FALSE
"pc_0693",1.19783291163501,316,452.5,0,FALSE,FALSE,FALSE
"pc_0247",1.19786934105175,317,618.5,0,FALSE,FALSE,FALSE
"pc_0389",1.19787083264224,318,175.5,0,FALSE,FALSE,FALSE
"pc_0442",1.19789939650537,319,370,0,FALSE,FALSE,FALSE
"pc_0365",1.19791029589252,320,437.5,0.05,FALSE,FALSE,FALSE
"pc_0678",1.19796331461153,321,285.5,0,FALSE,FALSE,FALSE
"pc_0190",1.1980138363774,322,152,0.05,FALSE,FALSE,FALSE
"pc_0623",1.19801576838524,323,188,0,FALSE,FALSE,FALSE
"pc_0356",1.19801673983284,324,290,0.05,FALSE,FALSE,FALSE
"pc_0239",1.19802320564862,325,819,0,FALSE,FALSE,FALSE
"pc_0753",1.19802499427881,326,67,0.05,FALSE,FALSE,FALSE
"pc_0613",1.19805080559043,327,444,0.05,FALSE,FALSE,FALSE
"pc_0134",1.19807926605695,328,415,0,FALSE,FALSE,FALSE
"pc_0792",1.19812932325628,329,325.5,0.05,FALSE,FALSE,FALSE
"pc_0546",1.19813168008308,330,365,0,FALSE,FALSE,FALSE
"pc_0909",1.19813410524794,331,125,0.05,FALSE,FALSE,FALSE
"pc_0395",1.19815361937407,332,257.5,0.05,FALSE,FALSE,FALSE
"pc_0900",1.19816619747896,333,460.5,0,FALSE,FALSE,FALSE
"pc_0192",1.19818457223487,334,718.5,0,FALSE,FALSE,FALSE
"pc_0636",1.19820647892219,335,313,0,FALSE,FALSE,FALSE
"pc_0676",1.1982233558444,336,321.5,0,FALSE,FALSE,FALSE
"pc_0862",1.19824129109526,337,488,0.1,FALSE,FALSE,FALSE
"pc_0585",1.19825640064528,338,296,0.05,FALSE,FALSE,FALSE
"pc_0667",1.19825797982144,339,255.5,0,FALSE,FALSE,FALSE
"pc_0956",1.19832938498438,340,309,0,FALSE,FALSE,FALSE
"pc_0831",1.19833232184812,341,361,0,FALSE,FALSE,FALSE
"pc_0406",1.198360343995,342,426.5,0,FALSE,FALSE,FALSE
