"covariate","score","rank_base","rank_agg_med","rank_agg_min","freq_top20","below_thr05","below_thr01","below_mrg05","below_mrg01","p_marginal","rank_q90","rank_q95","rank_q99"
"emb_075",1.21844482190848,34,26,80.5,0.05,FALSE,FALSE,FALSE,FALSE,0.0906472602739726,219,41,121
"emb_103",1.21637377648158,27,28,35.5,0.1,FALSE,FALSE,FALSE,FALSE,0.0606404109589041,156,126,137
"emb_026",1.22496400654975,91,29.5,25,0.15,FALSE,FALSE,FALSE,FALSE,0.259852739726027,112,142,33
"emb_176",1.20927526836939,7,29.5,29.5,0.1,FALSE,FALSE,TRUE,FALSE,0.0113493150684932,134,113,131
"emb_011",1.21764061095388,30,31,61.5,0.1,FALSE,FALSE,FALSE,FALSE,0.0778047945205479,58,215,45
"emb_087",1.21213144944543,12,32,44,0.05,FALSE,FALSE,TRUE,FALSE,0.023541095890411,49,69,73
"emb_201",1.22010577289484,51,33.5,29.5,0.15,FALSE,FALSE,FALSE,FALSE,0.122958904109589,109,138,58
"scale_08",1.23043404560729,144,33.5,38.5,0.1,FALSE,FALSE,FALSE,FALSE,0.479041095890411,9,16,13
"emb_025",1.21928353360669,43,35.5,48.5,0.15,FALSE,FALSE,FALSE,FALSE,0.106017123287671,117,232,39
"emb_067",1.2190183519725,40,35.5,13.5,0.1,FALSE,FALSE,FALSE,FALSE,0.100914383561644,121,191,71
"emb_059",1.22376767535221,77,37,51.5,0.05,FALSE,FALSE,FALSE,FALSE,0.219986301369863,192,223,101
"emb_240",1.21879502600463,36,38,99.5,0.1,FALSE,FALSE,FALSE,FALSE,0.0968630136986301,198,132,60
"emb_124",1.21921173126302,41,39,74,0.1,FALSE,FALSE,FALSE,FALSE,0.104719178082192,266,105,143
"emb_045",1.22253365875126,63,41,38.5,0.05,FALSE,FALSE,FALSE,FALSE,0.182739726027397,110,111,235
"emb_145",1.21837631116571,33,41,92,0.15,FALSE,FALSE,FALSE,FALSE,0.089472602739726,289,259,114
