doc_id,M_128,M_256,M_512,M_1024
<urn:uuid:2ca8996c-2dd6-4796-b5f8-6aac8e086b34>,14.279928207397461,15.000691413879395,16.725894927978516,16.725894927978516
<urn:uuid:3fc286f5-4d07-4fee-bf7f-0df3188ceaf1>,11.884309768676758,13.995725631713867,13.995725631713867,14.03366470336914
<urn:uuid:667a7356-d1c3-4f53-a952-b96d19026479>,12.803153038024902,16.226903915405273,16.226903915405273,18.31216812133789
<urn:uuid:2d0b2720-b582-4b56-a196-242117e38fbc>,14.930295944213867,15.486259460449219,15.486259460449219,16.01966667175293
<urn:uuid:64bd7ee1-1dca-4c81-9e4c-09dceef0e1a6>,11.476385116577148,11.476385116577148,12.061960220336914,12.061960220336914
<urn:uuid:fe3ca33b-a86f-4111-bcd3-6c0567c975a5>,12.032419204711914,13.407846450805664,13.407846450805664,13.407846450805664
<urn:uuid:2fc490b5-a43b-4387-9d65-2a5810e39bf6>,11.91520881652832,12.780855178833008,12.780855178833008,12.780855178833008
<urn:uuid:cd41809a-62ce-41a1-be84-dac4ee309eb3>,13.281109809875488,13.281109809875488,13.281109809875488,13.281109809875488
<urn:uuid:0ea548a1-be40-4b5c-877a-b2f61d2b4fa7>,10.85183334350586,10.85183334350586,11.739005088806152,17.51456642150879
<urn:uuid:bacef42d-861c-4c27-97fc-495eb894a34d>,11.64482593536377,11.64482593536377,13.860751152038574,14.104455947875977
