doc_id,stored,fp32,fp64,ecart
<urn:uuid:ddb5c80d-5042-46e9-9f0f-a8e69a60f818>,17.983251571655273,17.983251571655273,17.983275720359558,2.414870428424365e-05
<urn:uuid:08a2c7aa-a38f-45ac-8759-adcebfe28dc2>,16.69080352783203,16.69080352783203,16.690759335508897,-4.419232313424004e-05
<urn:uuid:8b23d5a5-7572-48ee-8d00-fee17284926f>,17.18732452392578,17.18732452392578,17.18749394318141,0.00016941925562719007
<urn:uuid:92625836-f78f-4b0c-bf8a-94db31fe378a>,19.48349952697754,19.48349952697754,19.483384418661334,-0.00011510831620498152
<urn:uuid:8a4609f1-6d23-4494-978a-8164eaff1345>,19.032819747924805,19.032819747924805,19.032774247453784,-4.550047102114263e-05
<urn:uuid:1cd51937-8d74-47f6-8d74-e62b91acdc48>,21.24793243408203,21.24793243408203,21.247984717150754,5.228306872240296e-05
<urn:uuid:c4bbe438-c940-48b7-a2e2-dffc6a5af764>,17.383108139038086,17.383108139038086,17.383096051781006,-1.2087257079684832e-05
<urn:uuid:adc85132-eda4-4e43-9ed0-e8edd877e644>,22.09506607055664,22.09506607055664,22.095123622568916,5.755201227586326e-05
<urn:uuid:29a6ffb8-c00b-4494-b155-d2527fa94b8e>,17.09563636779785,17.09563636779785,17.096084494431143,0.00044812663329096836
<urn:uuid:f4b17a25-525c-4c75-aee2-38a1e6ffbab0>,18.08869171142578,18.08869171142578,18.0884967080907,-0.00019500333507949108
<urn:uuid:5751467b-9381-4bfe-9213-667b979553a0>,16.496145248413086,16.496145248413086,16.496237954597866,9.270618478041115e-05
<urn:uuid:50d471bb-f07a-4f32-81d4-3063047508c5>,16.82651710510254,16.82651710510254,16.82602928135931,-0.0004878237432279775
<urn:uuid:7ce825e2-1853-460b-9600-4761e47a64f2>,17.285154342651367,17.285154342651367,17.285151920743463,-2.421907904448517e-06
<urn:uuid:303c6668-4f91-4798-a52d-f8d18a0ccc47>,16.829769134521484,16.829769134521484,16.829646436495022,-0.00012269802646258654
<urn:uuid:e182f320-690e-4220-864a-de16fd76963e>,20.336565017700195,20.336565017700195,20.33666224070727,9.722300707437626e-05
<urn:uuid:42d44b8d-05b3-4ac8-be8f-6d323be40f25>,18.8546199798584,18.8546199798584,18.854597807580838,-2.2172277560628117e-05
<urn:uuid:34cee997-d9a3-4653-902e-f4b0b2faa4e1>,17.792186737060547,17.792186737060547,17.792154992541565,-3.174451898146913e-05
<urn:uuid:de36e8bc-75cf-4f00-af94-aa7e952757fd>,16.56875991821289,16.56875991821289,16.56867474397057,-8.517424232223902e-05
<urn:uuid:bf09a210-1ffa-4bd0-b938-27e9f787f02d>,19.608234405517578,19.608234405517578,19.60833756952647,0.000103164008891099
<urn:uuid:e8f97099-c4eb-4a23-be35-a030af5ca634>,17.798004150390625,17.798004150390625,17.79800071066374,-3.439726885545724e-06
<urn:uuid:d809cd13-57b7-4ff5-9b87-7ae1f5b9a36e>,16.94733238220215,16.94733238220215,16.947443752929587,0.00011137072743849785
<urn:uuid:9e7d44ba-8cfe-4ba3-870e-051138391fc6>,16.865549087524414,16.865549087524414,16.86546619471681,-8.28928076046509e-05
<urn:uuid:cc8c79f6-e702-4147-88ab-4539e895f2b6>,17.272382736206055,17.272382736206055,17.272264151051992,-0.0001185851540626004
<urn:uuid:71ae07b3-30af-4a3a-a38e-56a5f1d81c6a>,18.29642105102539,18.29642105102539,18.29641184647395,-9.204551439268016e-06
<urn:uuid:dd45c94f-3c61-4bff-b6d8-8011b7179821>,19.00275421142578,19.00275421142578,19.002725061145718,-2.915028006356124e-05
<urn:uuid:fb8fe78f-3efa-4e06-a0a6-10b7861ce95e>,18.587955474853516,18.587955474853516,18.58802608767969,7.061282617470965e-05
<urn:uuid:f9d76182-aa1a-486a-a323-3105b1dcf396>,17.11541175842285,17.11541175842285,17.115438651066317,2.6892643465004085e-05
<urn:uuid:a1df98d4-59c8-4a88-9226-8a6031e4e1c2>,17.067028045654297,17.067028045654297,17.067428947667896,0.00040090201359888056
<urn:uuid:406ea733-ab7d-4e64-8c8d-89e053bb39d0>,19.985549926757812,19.985549926757812,19.985631644611605,8.171785379218477e-05
<urn:uuid:bf68a3cb-b409-43da-92ff-8cf4a8e0df3c>,16.938138961791992,16.938138961791992,16.937941867868208,-0.00019709392378430834
<urn:uuid:ce94473a-12f4-4244-aefa-68f28727e381>,16.52914047241211,16.52914047241211,16.52901934023841,-0.00012113217369957852
<urn:uuid:dff7ea0e-856c-480e-a451-760c7d4b351e>,17.131855010986328,17.131855010986328,17.132003244316653,0.00014823333032509822
<urn:uuid:1e5d4249-8fe8-4c78-af66-7c873f004278>,16.55942153930664,16.55942153930664,16.559456738379737,3.5199073096237044e-05
<urn:uuid:693317eb-1a98-4424-a67a-b3a0cf765ca6>,17.342464447021484,17.342464447021484,17.342411085805303,-5.336121618171319e-05
<urn:uuid:be57cc74-2103-46bb-a9f6-ad581f7c8902>,18.643613815307617,18.643613815307617,18.64359849059358,-1.5324714038200682e-05
