"model","n","p","rho","rule","reps","sure4","sure10","sure20","sure30","sure50","sure100","sure20_fair"
"M2",5000,1000,0.4,"union",40,0.925,1,1,1,1,1,1
"M2",5000,1000,0.4,"inter",40,0.15,1,1,1,1,1,1
"M2",5000,1000,0.5,"ours",40,0.95,0.975,0.975,1,1,1,0.975
"M2",5000,1000,0.5,"qsis",40,0.325,1,1,1,1,1,1
"M2",5000,1000,0.5,"union",40,0.95,1,1,1,1,1,1
"M2",5000,1000,0.5,"inter",40,0.325,0.975,0.975,1,1,1,0.975
"M2",5000,2000,0,"ours",40,0.425,0.65,0.675,0.675,0.775,0.775,0.675
"M2",5000,2000,0,"qsis",40,0.1,1,1,1,1,1,1
"M2",5000,2000,0,"union",40,0.625,1,1,1,1,1,1
"M2",5000,2000,0,"inter",40,0.075,0.65,0.675,0.675,0.775,0.775,0.675
"M2",5000,2000,0.2,"ours",40,0.725,0.85,0.875,0.9,0.95,0.95,0.875
"M2",5000,2000,0.2,"qsis",40,0.275,1,1,1,1,1,1
"M2",5000,2000,0.2,"union",40,0.8,1,1,1,1,1,1
"M2",5000,2000,0.2,"inter",40,0.25,0.85,0.875,0.9,0.95,0.95,0.875
"M2",5000,2000,0.25,"ours",40,0.9,0.95,0.975,1,1,1,0.975
"M2",5000,2000,0.25,"qsis",40,0.3,1,1,1,1,1,1
"M2",5000,2000,0.25,"union",40,0.9,1,1,1,1,1,1
"M2",5000,2000,0.25,"inter",40,0.3,0.95,0.975,1,1,1,0.975
"M2",5000,2000,0.3,"ours",40,0.875,0.925,0.975,0.975,0.975,0.975,0.975
"M2",5000,2000,0.3,"qsis",40,0.175,1,1,1,1,1,1
"M2",5000,2000,0.3,"union",40,0.875,1,1,1,1,1,1
"M2",5000,2000,0.3,"inter",40,0.175,0.925,0.975,0.975,0.975,0.975,0.975
"M2",5000,2000,0.4,"ours",40,0.975,0.975,1,1,1,1,1
"M2",5000,2000,0.4,"qsis",40,0.125,1,1,1,1,1,1
"M2",5000,2000,0.4,"union",40,0.975,1,1,1,1,1,1
"M2",5000,2000,0.4,"inter",40,0.125,0.975,1,1,1,1,1
"M2",5000,2000,0.5,"ours",40,0.975,0.975,0.975,0.975,1,1,0.975
"M2",5000,2000,0.5,"qsis",40,0.325,1,1,1,1,1,1
"M2",5000,2000,0.5,"union",40,0.975,1,1,1,1,1,1
"M2",5000,2000,0.5,"inter",40,0.325,0.975,0.975,0.975,1,1,0.975
"M3",2000,2000,0,"ours",40,0,0.025,0.05,0.075,0.075,0.125,0.05
"M3",2000,2000,0,"qsis",40,0,0.05,0.075,0.175,0.275,0.45,0.075
"M3",2000,2000,0,"union",40,0.025,0.075,0.15,0.25,0.4,0.6,0.075
"M3",2000,2000,0,"inter",40,0,0,0,0.075,0.075,0.1,0
"M3",2000,2000,0.2,"ours",40,0.025,0.15,0.2,0.25,0.3,0.575,0.2
"M3",2000,2000,0.2,"qsis",40,0.2,0.55,0.75,0.85,0.925,0.95,0.75
"M3",2000,2000,0.2,"union",40,0.275,0.65,0.8,0.925,0.95,0.975,0.65
"M3",2000,2000,0.2,"inter",40,0.025,0.125,0.175,0.225,0.275,0.55,0.175
"M3",2000,2000,0.25,"ours",40,0.125,0.225,0.3,0.425,0.5,0.65,0.3
"M3",2000,2000,0.25,"qsis",40,0.175,0.625,0.75,0.8,0.825,0.975,0.75
"M3",2000,2000,0.25,"union",40,0.325,0.65,0.8,0.875,0.875,1,0.65
"M3",2000,2000,0.25,"inter",40,0.05,0.225,0.275,0.4,0.475,0.65,0.275
"M3",2000,2000,0.3,"ours",40,0.175,0.525,0.625,0.675,0.775,0.825,0.625
"M3",2000,2000,0.3,"qsis",40,0.275,0.775,0.875,0.9,0.975,0.975,0.875
"M3",2000,2000,0.3,"union",40,0.475,0.875,0.925,0.95,0.975,0.975,0.875
"M3",2000,2000,0.3,"inter",40,0.125,0.45,0.6,0.65,0.775,0.825,0.6
"M3",2000,2000,0.4,"ours",40,0.35,0.675,0.75,0.775,0.8,0.9,0.75
"M3",2000,2000,0.4,"qsis",40,0.5,0.85,0.875,0.925,0.95,1,0.875
"M3",2000,2000,0.4,"union",40,0.675,0.875,0.9,0.925,0.95,1,0.875
"M3",2000,2000,0.4,"inter",40,0.2,0.65,0.725,0.775,0.8,0.9,0.725
"M3",2000,2000,0.5,"ours",40,0.775,0.9,1,1,1,1,1
"M3",2000,2000,0.5,"qsis",40,0.9,1,1,1,1,1,1
"M3",2000,2000,0.5,"union",40,0.95,1,1,1,1,1,1
"M3",2000,2000,0.5,"inter",40,0.725,0.9,1,1,1,1,1
"M3",5000,500,0,"ours",40,0.125,0.4,0.55,0.6,0.725,0.85,0.55
"M3",5000,500,0,"qsis",40,0.9,1,1,1,1,1,1
"M3",5000,500,0,"union",40,0.95,1,1,1,1,1,1
"M3",5000,500,0,"inter",40,0.125,0.4,0.55,0.6,0.725,0.85,0.55
"M3",5000,500,0.2,"ours",40,0.625,0.85,0.875,0.925,0.95,1,0.875
"M3",5000,500,0.2,"qsis",40,1,1,1,1,1,1,1
"M3",5000,500,0.2,"union",40,1,1,1,1,1,1,1
"M3",5000,500,0.2,"inter",40,0.625,0.85,0.875,0.925,0.95,1,0.875
"M3",5000,500,0.25,"ours",40,0.775,0.9,0.9,0.9,0.9,1,0.9
"M3",5000,500,0.25,"qsis",40,1,1,1,1,1,1,1
"M3",5000,500,0.25,"union",40,1,1,1,1,1,1,1
