"n","rep","regle","hits10","hits20","worst"
3000,14,"tail aggregated",1,1,113
3000,14,"Yoshida-Umezu paper",1,1,92
3000,14,"Yoshida-Umezu h=2",1,1,232
3000,14,"quantile 0.90",1,2,11
3000,14,"quantile 0.95",1,1,102
3000,14,"quantile 0.99",2,2,4
3000,15,"tail selected",1,1,68
3000,15,"tail aggregated",1,1,36
3000,15,"Yoshida-Umezu paper",1,1,167
3000,15,"Yoshida-Umezu h=2",1,1,191
3000,15,"quantile 0.90",1,2,16
3000,15,"quantile 0.95",2,2,5
3000,15,"quantile 0.99",2,2,7
3000,16,"tail selected",1,1,57
3000,16,"tail aggregated",1,2,19
3000,16,"Yoshida-Umezu paper",1,1,35
3000,16,"Yoshida-Umezu h=2",1,1,68
3000,16,"quantile 0.90",1,1,30
3000,16,"quantile 0.95",2,2,10
3000,16,"quantile 0.99",1,1,31
3000,17,"tail selected",2,2,4
3000,17,"tail aggregated",2,2,3
3000,17,"Yoshida-Umezu paper",1,1,95
3000,17,"Yoshida-Umezu h=2",1,1,53
3000,17,"quantile 0.90",1,1,91
3000,17,"quantile 0.95",1,1,99
3000,17,"quantile 0.99",1,1,184
3000,18,"tail selected",2,2,5
3000,18,"tail aggregated",2,2,4
3000,18,"Yoshida-Umezu paper",1,1,90
3000,18,"Yoshida-Umezu h=2",2,2,3
3000,18,"quantile 0.90",2,2,3
3000,18,"quantile 0.95",2,2,4
3000,18,"quantile 0.99",2,2,3
3000,19,"tail selected",1,2,18
3000,19,"tail aggregated",2,2,3
3000,19,"Yoshida-Umezu paper",2,2,4
3000,19,"Yoshida-Umezu h=2",2,2,7
3000,19,"quantile 0.90",2,2,3
3000,19,"quantile 0.95",2,2,3
3000,19,"quantile 0.99",2,2,4
3000,20,"tail selected",1,1,138
3000,20,"tail aggregated",1,1,106
3000,20,"Yoshida-Umezu paper",0,1,181
3000,20,"Yoshida-Umezu h=2",0,0,53
3000,20,"quantile 0.90",1,1,24
3000,20,"quantile 0.95",2,2,8
3000,20,"quantile 0.99",1,1,105
5000,1,"tail selected",2,2,4
5000,1,"tail aggregated",2,2,3
5000,1,"Yoshida-Umezu paper",0,0,213
5000,1,"Yoshida-Umezu h=2",1,1,124
5000,1,"quantile 0.90",1,1,39
5000,1,"quantile 0.95",2,2,8
5000,1,"quantile 0.99",2,2,10
5000,2,"tail selected",2,2,3
5000,2,"tail aggregated",2,2,3
5000,2,"Yoshida-Umezu paper",0,1,89
5000,2,"Yoshida-Umezu h=2",1,1,44
5000,2,"quantile 0.90",1,1,24
5000,2,"quantile 0.95",1,1,29
5000,2,"quantile 0.99",2,2,3
5000,3,"tail selected",1,2,14
5000,3,"tail aggregated",2,2,7
5000,3,"Yoshida-Umezu paper",1,1,254
5000,3,"Yoshida-Umezu h=2",0,0,153
5000,3,"quantile 0.90",1,1,28
5000,3,"quantile 0.95",2,2,5
5000,3,"quantile 0.99",2,2,4
5000,4,"tail selected",2,2,3
5000,4,"tail aggregated",2,2,3
5000,4,"Yoshida-Umezu paper",1,1,132
5000,4,"Yoshida-Umezu h=2",1,1,142
5000,4,"quantile 0.90",2,2,7
5000,4,"quantile 0.95",2,2,3
5000,4,"quantile 0.99",2,2,4
5000,5,"tail selected",2,2,3
5000,5,"tail aggregated",2,2,3
5000,5,"Yoshida-Umezu paper",1,1,32
5000,5,"Yoshida-Umezu h=2",2,2,6
5000,5,"quantile 0.90",1,2,12
5000,5,"quantile 0.95",2,2,3
5000,5,"quantile 0.99",2,2,4
5000,6,"tail selected",2,2,3
5000,6,"tail aggregated",2,2,3
5000,6,"Yoshida-Umezu paper",0,0,120
5000,6,"Yoshida-Umezu h=2",0,0,145
5000,6,"quantile 0.90",2,2,3
5000,6,"quantile 0.95",2,2,3
5000,6,"quantile 0.99",2,2,3
5000,7,"tail selected",1,1,39
5000,7,"tail aggregated",2,2,5
5000,7,"Yoshida-Umezu paper",2,2,2
5000,7,"Yoshida-Umezu h=2",2,2,6
5000,7,"quantile 0.90",2,2,3
5000,7,"quantile 0.95",1,2,16
5000,7,"quantile 0.99",1,1,38
5000,8,"tail selected",2,2,3
5000,8,"tail aggregated",2,2,3
5000,8,"Yoshida-Umezu paper",2,2,6
5000,8,"Yoshida-Umezu h=2",1,1,36
5000,8,"quantile 0.90",2,2,5
5000,8,"quantile 0.95",2,2,3
5000,8,"quantile 0.99",2,2,4
5000,9,"tail selected",2,2,3
5000,9,"tail aggregated",2,2,3
5000,9,"Yoshida-Umezu paper",1,1,30
5000,9,"Yoshida-Umezu h=2",2,2,3
5000,9,"quantile 0.90",2,2,3
5000,9,"quantile 0.95",2,2,3
5000,9,"quantile 0.99",2,2,5
5000,10,"tail selected",1,2,20
5000,10,"tail aggregated",1,1,21
5000,10,"Yoshida-Umezu paper",1,2,19
5000,10,"Yoshida-Umezu h=2",1,1,206
5000,10,"quantile 0.90",1,1,27
5000,10,"quantile 0.95",2,2,6
5000,10,"quantile 0.99",2,2,3
5000,11,"tail selected",2,2,5
5000,11,"tail aggregated",2,2,4
5000,11,"Yoshida-Umezu paper",0,0,112
5000,11,"Yoshida-Umezu h=2",0,0,81
5000,11,"quantile 0.90",1,1,31
5000,11,"quantile 0.95",2,2,6
5000,11,"quantile 0.99",2,2,3
5000,12,"tail selected",1,1,198
5000,12,"tail aggregated",1,1,26
5000,12,"Yoshida-Umezu paper",1,2,17
5000,12,"Yoshida-Umezu h=2",0,0,75
5000,12,"quantile 0.90",2,2,9
5000,12,"quantile 0.95",2,2,5
5000,12,"quantile 0.99",2,2,5
5000,13,"tail selected",2,2,9
5000,13,"tail aggregated",2,2,3
5000,13,"Yoshida-Umezu paper",1,1,224
5000,13,"Yoshida-Umezu h=2",0,1,67
5000,13,"quantile 0.90",1,1,68
5000,13,"quantile 0.95",1,2,11
5000,13,"quantile 0.99",2,2,3
5000,14,"tail selected",2,2,6
5000,14,"tail aggregated",2,2,7
5000,14,"Yoshida-Umezu paper",1,1,165
5000,14,"Yoshida-Umezu h=2",1,1,22
5000,14,"quantile 0.90",2,2,5
5000,14,"quantile 0.95",1,1,27
5000,14,"quantile 0.99",2,2,6
5000,15,"tail selected",2,2,3
5000,15,"tail aggregated",2,2,3
5000,15,"Yoshida-Umezu paper",1,1,161
