"n","rep","a","alpha","two_nah","agg_worst","sel_worst","agg_hits","sel_hits","comp_worst"
1000,11,0.2,0.251188643150958,89.1250938133745,97,237,1,1,114
1000,11,0.25,0.177827941003892,63.0957344480193,117,59,1,1,114
1000,11,0.3,0.125892541179417,44.6683592150963,143,196,1,1,114
1000,11,0.35,0.0891250938133746,31.6227766016838,193,252,1,1,114
1000,11,0.4,0.0630957344480193,22.3872113856834,170,88,1,1,114
1000,12,0.15,0.354813389233575,125.892541179417,91,125,1,1,32
1000,12,0.2,0.251188643150958,89.1250938133745,11,68,1,1,32
1000,12,0.25,0.177827941003892,63.0957344480193,10,7,2,2,32
1000,12,0.3,0.125892541179417,44.6683592150963,10,41,2,1,32
1000,12,0.35,0.0891250938133746,31.6227766016838,42,179,1,1,32
1000,12,0.4,0.0630957344480193,22.3872113856834,64,249,1,1,32
1000,13,0.15,0.354813389233575,125.892541179417,16,7,1,2,2
1000,13,0.2,0.251188643150958,89.1250938133745,13,10,1,2,2
1000,13,0.25,0.177827941003892,63.0957344480193,17,9,1,2,2
1000,13,0.3,0.125892541179417,44.6683592150963,4,27,2,1,2
1000,13,0.35,0.0891250938133746,31.6227766016838,2,3,2,2,2
1000,13,0.4,0.0630957344480193,22.3872113856834,2,2,2,2,2
1000,14,0.15,0.354813389233575,125.892541179417,200,184,1,1,6
1000,14,0.2,0.251188643150958,89.1250938133745,103,184,1,1,6
1000,14,0.25,0.177827941003892,63.0957344480193,16,38,1,1,6
1000,14,0.3,0.125892541179417,44.6683592150963,18,6,1,2,6
1000,14,0.35,0.0891250938133746,31.6227766016838,22,41,1,1,6
1000,14,0.4,0.0630957344480193,22.3872113856834,44,261,1,1,6
1000,15,0.15,0.354813389233575,125.892541179417,6,30,2,1,5
1000,15,0.2,0.251188643150958,89.1250938133745,3,5,2,2,5
1000,15,0.25,0.177827941003892,63.0957344480193,4,3,2,2,5
1000,15,0.3,0.125892541179417,44.6683592150963,7,41,2,1,5
1000,15,0.35,0.0891250938133746,31.6227766016838,58,67,1,1,5
1000,15,0.4,0.0630957344480193,22.3872113856834,135,60,1,1,5
1000,16,0.15,0.354813389233575,125.892541179417,63,38,1,1,16
1000,16,0.2,0.251188643150958,89.1250938133745,39,143,1,1,16
1000,16,0.25,0.177827941003892,63.0957344480193,43,42,1,1,16
1000,16,0.3,0.125892541179417,44.6683592150963,3,33,2,1,16
1000,16,0.35,0.0891250938133746,31.6227766016838,3,3,2,2,16
1000,16,0.4,0.0630957344480193,22.3872113856834,5,3,2,2,16
1000,17,0.15,0.354813389233575,125.892541179417,39,56,1,1,4
1000,17,0.2,0.251188643150958,89.1250938133745,5,17,2,1,4
1000,17,0.25,0.177827941003892,63.0957344480193,3,3,2,2,4
1000,17,0.3,0.125892541179417,44.6683592150963,4,5,2,2,4
1000,17,0.35,0.0891250938133746,31.6227766016838,7,78,2,1,4
1000,17,0.4,0.0630957344480193,22.3872113856834,18,32,1,1,4
1000,18,0.15,0.354813389233575,125.892541179417,71,43,1,1,22
1000,18,0.2,0.251188643150958,89.1250938133745,6,166,2,1,22
1000,18,0.25,0.177827941003892,63.0957344480193,4,3,2,2,22
1000,18,0.3,0.125892541179417,44.6683592150963,4,7,2,2,22
1000,18,0.35,0.0891250938133746,31.6227766016838,3,10,2,2,22
1000,18,0.4,0.0630957344480193,22.3872113856834,4,2,2,2,22
1000,19,0.15,0.354813389233575,125.892541179417,58,68,1,1,4
1000,19,0.2,0.251188643150958,89.1250938133745,7,31,2,1,4
1000,19,0.25,0.177827941003892,63.0957344480193,3,4,2,2,4
1000,19,0.3,0.125892541179417,44.6683592150963,3,3,2,2,4
1000,19,0.35,0.0891250938133746,31.6227766016838,4,7,2,2,4
1000,19,0.4,0.0630957344480193,22.3872113856834,15,119,1,1,4
1000,20,0.15,0.354813389233575,125.892541179417,75,45,1,1,49
1000,20,0.2,0.251188643150958,89.1250938133745,37,239,1,1,49
1000,20,0.25,0.177827941003892,63.0957344480193,35,13,1,1,49
1000,20,0.3,0.125892541179417,44.6683592150963,32,24,1,1,49
1000,20,0.35,0.0891250938133746,31.6227766016838,53,214,1,1,49
1000,20,0.4,0.0630957344480193,22.3872113856834,243,232,1,1,49
2000,1,0.15,0.319775731187276,204.513036512715,16,88,1,1,3
2000,1,0.2,0.218672414788656,139.85226265906,14,8,1,2,3
2000,1,0.25,0.149534878122122,95.6352499790037,13,22,1,1,3
2000,1,0.3,0.102256518256357,65.3983057881835,51,49,1,1,3
2000,1,0.35,0.0699261313295298,44.7213595499958,36,128,1,1,3
2000,1,0.4,0.0478176249895018,30.5818319893139,13,19,1,1,3
2000,2,0.15,0.319775731187276,204.513036512715,53,163,1,1,4
2000,2,0.2,0.218672414788656,139.85226265906,6,38,2,1,4
